pickup_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
136.0,23.928807057920984,7821,187147.2,5.984462344968674,2.8105601833745206
137.0,10.84690550268061,3701396,40148692.64,2.253959376408249,15.84832194122051
138.0,32.2400286996459,8077800,260428503.82999966,9.609203580182735,17.48501194776167
139.0,35.341845416417016,5007,176956.62,9.976223287397646,1.912031231578264
140.0,11.235606746676421,5160704,57983640.67999999,2.3947828571450707,15.488100952728024
141.0,9.959662619635072,6941631,69136302.79000002,1.9671693223105546,15.95061736578036
142.0,10.681073107655052,8896647,95025737.02,2.136814253729524,15.96357219878036
143.0,10.356665603242314,3366483,34865538.69,2.0993483525685432,16.106079293975686
144.0,12.160653122790151,3157737,38400144.31,2.5272986889028415,15.443543020215637
145.0,16.78519571401479,369110,6195583.59,2.629558966161848,9.246699670519286
146.0,12.45996945681033,300558,3744943.499999999,2.8072561701901133,10.043771650133294
147.0,24.142668274060675,4977,120158.05999999998,6.05616636528029,2.9936990127817507
148.0,12.655369815061876,4085150,51699084.00000002,2.919023230481135,15.68617779566343
149.0,25.03561175422974,5615,140574.96,6.327435440783616,2.794355680047004
150.0,33.142419246298786,2972,98499.26999999999,8.321073351278601,3.5797062527054067
151.0,10.642318991214006,2607332,27748058.86,2.3024013666077043,14.601572824319588
152.0,11.77159744030938,295817,3482238.6399999997,2.7299636937701357,9.949787863164024
153.0,18.942455089820363,4509,85411.53000000001,5.107522732313151,4.064182360955879
154.0,48.77624272651705,1203,58677.82000000001,10.969692435577722,8.3940515655181
155.0,30.31697552862914,8418,255208.3000000001,7.813623188405797,2.5546549346673353
156.0,37.342831737346096,731,27297.609999999997,7.903556771545827,9.02366037228471
157.0,34.11711978694469,17648,602098.9299999999,5.6646186536718055,11.168974767120046
158.0,12.060856049912237,3165236,38175455.76000001,2.537180500916842,16.507625768511385
159.0,15.977200096200098,20790,332165.99000000005,3.641938431938431,3.3749433323450697
160.0,24.405110501693827,6199,151287.28000000003,5.242292305210518,8.101079367955832
161.0,11.931839595145762,11675906,139315037.51999998,2.357122160798498,15.881382734397436
162.0,11.696761270182654,10519306,123041811.01,2.3684314925338312,16.718452765161228
