dropoff_taxizone_id,dropoff_hour,dropoff_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
261.0,7,6,16.7482638548308,2039,34149.71,4.9432810201078965,10079.35
261.0,8,0,18.650214488061515,9884,184338.72,4.922948199109672,48658.42
261.0,8,1,18.29924799708667,10984,200998.93999999997,4.7087718499635836,51721.15
261.0,8,2,17.80362877904369,11147,198457.05000000002,4.474777967166054,49880.350000000006
261.0,8,3,17.789523471470407,11269,200470.14,4.480433046410506,50489.99999999999
261.0,8,4,17.26325241779497,10340,178502.03,4.391779497098646,45411.00000000001
261.0,8,5,16.724212373037858,5415,90561.61,4.824112650046168,26122.57
261.0,8,6,16.56188769167012,4826,79927.67,4.831147948611688,23315.120000000006
261.0,9,0,20.414194305381727,12784,260975.06,5.18211514392991,66248.15999999997
261.0,9,1,20.104187203428747,13066,262681.31,4.900083422623603,64024.49
261.0,9,2,20.157577265189204,13266,267410.42,4.872995627921,64645.15999999999
261.0,9,3,19.844218372852477,14086,279525.66,4.725802924889962,66567.66
261.0,9,4,19.336558068225372,13045,252245.4,4.787384438482177,62451.43
261.0,9,5,16.6355225320853,10363,172393.91999999998,4.636335038116376,48046.340000000004
261.0,9,6,16.0639223254131,8291,133185.98,4.5941358099143645,38089.979999999996
261.0,10,0,20.696978956039843,13353,276366.76,5.396535609975286,72059.94
261.0,10,1,20.554479006936837,13695,281493.58999999997,5.067848849945235,69404.18999999999
261.0,10,2,20.19896784495899,13777,278281.18,4.9312898308775495,67938.38
261.0,10,3,20.114469178082192,14016,281924.4,4.826813641552512,67652.62000000001
261.0,10,4,19.565896154681727,13809,270185.45999999996,4.822746035194439,66597.3
261.0,10,5,16.59641647597254,13110,217579.02,4.5187925247902365,59241.369999999995
261.0,10,6,16.01252566180443,11106,177835.11,4.478625967945255,49739.619999999995
261.0,11,0,20.30104475272357,12759,259021.03000000003,5.419192726702721,69143.48000000001
261.0,11,1,20.39500195480491,12789,260831.68,5.215195871452029,66697.14
261.0,11,2,20.031261032042615,12577,251933.16999999998,4.999626301979804,62880.299999999996
261.0,11,3,20.034082715567695,12815,256736.77000000002,4.953922746781116,63484.52000000001
261.0,11,4,19.406545889987637,12944,251198.33,4.871671817058098,63058.92000000001
261.0,11,5,16.809727820331673,13447,226040.41,4.476724920056519,60198.520000000004
261.0,11,6,15.96003529798063,12182,194425.15000000002,4.334252175340667,52799.86
261.0,12,0,19.724762626262624,11880,234330.17999999996,5.225803872053871,62082.54999999999
261.0,12,1,19.39302657106706,11855,229904.33000000002,4.888341628005061,57951.29
261.0,12,2,19.031545832273384,11793,224439.02000000002,4.744149071483084,55947.75
