dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
58.0,38.51590031910044,6581,253473.13999999998,13.081635009876917,9.48387715700023
59.0,30.67486753246753,1925,59049.119999999995,9.296732467532463,6.121285358555749
60.0,29.37310586794761,21234,623708.5299999996,8.992392860506738,3.8653337011510884
61.0,25.95291043121038,491477,12755258.559999984,7.155789772461354,12.97787253332577
62.0,28.0657906365884,129440,3632835.9400000023,7.879911233003714,11.611461186887206
63.0,28.979336196149024,36095,1046009.139999999,8.678048760216088,5.295909078308515
64.0,39.57549450116282,25369,1003990.7199999996,13.453786116914344,10.444621587859174
65.0,21.194790134666416,568293,12044850.869999982,5.875124346067965,14.68040216701822
66.0,18.568621575077838,452930,8410285.770000005,4.884901507959261,15.90000414850943
67.0,37.08295500676591,47296,1753875.4400000004,12.088030277401902,10.750296020813128
68.0,10.633703224539374,6741676,71688981.81999971,2.095296905398624,16.092717265278615
69.0,24.071600052630792,129202,3110098.870000004,7.011407950341322,6.231705375507943
70.0,21.976061066428386,134280,2950945.4800000037,6.335136580280011,11.665168217411722
71.0,33.779775369036614,56092,1894775.1600000015,9.852755116594173,5.5262197345324555
72.0,32.603501915293506,55344,1804408.210000004,9.307441095692386,4.093464342498932
73.0,30.8428576987215,17990,554863.0099999998,9.758713173985548,7.823408875142453
74.0,11.85569071255729,2353888,27906968.100000057,2.9172020673880716,11.363712049271928
75.0,10.631775152153287,3557926,37827069.240000136,2.4226918097791286,13.31008883603801
76.0,29.87021390776129,93171,2783037.700000027,8.744580287857818,3.591519028952841
77.0,30.974650124262137,25752,797659.1899999985,8.953924743709225,4.352086699558123
78.0,31.809056699398138,31570,1004211.9199999992,9.5266525182135,3.6317115054953306
79.0,10.711180845941954,6943573,74373866.1199997,2.17261722459029,17.097667528450188
80.0,20.422826536036027,513611,10489388.36,5.6135007817200275,15.358419460391092
81.0,41.91316699863711,19078,799619.3999999987,13.770933011846108,4.1210464455791955
82.0,21.793374541329513,259173,5648254.259999994,6.088698436951378,5.926748940731244
83.0,19.644149634073983,121336,2383542.540000001,5.392908782224575,6.914642554766262
84.0,77.34824829931974,2352,181923.08000000002,27.06966411564625,10.32085161222461
85.0,31.95274037152612,47749,1525711.4000000006,9.269044377892733,7.835114122956785
86.0,40.74541602395432,22042,898110.4600000011,12.062219853007884,4.918281969708119
87.0,16.831037885001802,2455378,41326560.139999956,4.450645244846265,16.512082297737397
88.0,17.545188415572852,1239388,21745295.980000004,4.770733910607453,14.093272270320917
89.0,33.24604336559998,257024,8545031.04999997,10.211259609997503,12.28954808823058
90.0,9.96546573046593,4455882,44404939.36999999,1.9213682790522888,17.450912908977408
91.0,37.35582260228045,59640,2227901.260000006,11.505521629778668,5.272788168630494
92.0,27.518950771220148,129924,3575372.1600000067,8.442114389951053,6.932704748746339
93.0,28.483352183256912,100973,2876049.52,8.431502084715733,6.207163356906935
94.0,31.65588097069128,23406,740937.55,9.784150645133739,3.7329050482568653
95.0,26.954502696744832,357468,9635372.169999981,8.184771112379257,12.230082581588055
96.0,30.70274346998789,5781,177492.56,9.32521017125065,7.13825801495764
97.0,19.874704283811397,504504,10026867.809999986,5.282617164581436,15.184218647908759
98.0,31.815329965350337,37807,1202842.1800000002,10.332517523209988,8.942262561050327
99.0,67.89606060606062,231,15683.990000000002,23.682640692640696,6.463324465339998
100.0,11.648098038579095,4682014,54536558.08999986,2.1156372492692697,14.002826449586125
101.0,39.71782227098188,20053,796461.4899999995,13.088181818181818,7.92192769053503
102.0,28.743544913304387,42159,1211799.1099999996,8.585966934699588,8.16091603881586
104.0,32.5,2,65.0,4.335,11.8
105.0,15.683274647887325,284,4454.05,4.058767605633803,14.113221293441793
106.0,23.415185216724876,152659,3574538.760000003,6.572204848715114,15.871310686941252
107.0,9.997286129718065,6299461,62977514.07999989,1.9938313944637442,17.366398285591178
